"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Minnesota",1629151.54689404,4000868.81245211,1980827.50445057,1274167.07635151,2311102.54517097,1224553.57124804,1801306.30947876,1735696.88249037,1633208.80993991,2216354.83214062,1775786.51512163,6271537.43514188,1602253.45837882,807699.740562902,963487.654717814,471760.598174185,927459.655971107,1223709.49643094,1700375.35218524,1942036.68487068,1639731.91981684,1844054.12632485,729411.557659031,0,1555026.16406547,893209.643174941,1174261.27572244,686797.770611619,1974147.91452534,1809036.09038014,1726386.77307307,1652820.67495487,1531607.710319,1725931.87091207,487232.376712338,1145520.17564193,1217069.09269823,2072843.57631695,1458388.23338456,1888216.21541488,1781464.09415524,506640.83808549,1335079.08035505,1699510.77209626,1613298.17577978,1713196.96015925,1604691.64679207,1988844.53622886,1406189.06314703,384135.695350999,1110913.7095659
"Mississippi",266080.020662896,5462176.07611414,2046581.74372371,351055.611412471,2754474.11778329,1590506.23770783,1793624.10632727,1452806.89199352,1330979.35455011,827626.246375737,583808.609377709,6685419.80663875,2513006.35638213,811743.073566503,850298.571792688,1090145.48706422,1014590.77047772,664406.918101714,287600.678542183,2245403.17242907,1355573.68148385,1894153.36458174,1340697.57176067,1555026.16406547,0,672839.636645722,2320150.30624259,1326155.14425051,2526950.50034105,1988768.54075214,1574900.72202522,1536309.99301381,1679499.72024037,997744.527518824,1871218.96238694,1038967.997849,787662.123608884,2950112.07174482,1389771.51709617,1883363.36850958,826839.452684774,1589286.55943143,461636.321627036,922381.792600535,2106362.10113285,1939309.89286138,1118466.51368924,3058369.26193898,1047628.10850592,1319981.49015226,1935616.41874416
"Missouri",801708.300082144,4800010.56968126,1779237.77390892,384271.918165881,2374950.06346278,1140293.16194912,1719626.75238542,1474852.15529071,1344470.66844025,1422415.02326369,1034059.06734043,6392860.40712043,1962474.85154928,338155.516627999,560565.456529254,422236.122224299,517296.10914643,635396.996806036,809566.82164746,2069640.33772719,1363301.24512692,1803183.66860397,888370.139626732,893209.643174941,672839.636645722,0,1700871.467761,719298.231198957,2095187.95905387,1846894.37823715,1545508.44925586,1299647.12036111,1516930.39747214,1203675.50448873,1201943.65488405,859976.88848298,543411.794904895,2425978.20133026,1287782.72103364,1817328.44239428,1150181.73293424,936759.203460302,609405.702516684,987869.316365088,1668423.32851025,1771455.78714946,1198382.24717258,2479662.21772482,1032210.27439065,725785.45132294,1373627.74164956
"Montana",2496222.08794869,3195732.17958609,1429182.3820905,1970880.84600827,1362662.25971253,954502.133070664,2975489.42504439,2896066.39354652,2786367.61330827,3118595.79858563,2732427.97656633,5143358.26277084,490314.959027783,1818792.21751072,2040042.57381465,1392851.60252092,1321083.34436766,2254803.98908725,2329455.94067726,3087721.11834664,2795348.19009762,3016653.30467152,1902468.24365008,1174261.27572244,2320150.30624259,1700871.467761,0,994700.497147739,1028553.46624421,2974760.27452734,2896408.35712448,1435027.60744956,2705191.00702864,2812303.7404627,694958.502776021,2277988.35573845,1625046.06795662,920646.971668925,2625192.79965981,3061908.21118002,2815671.57876219,786675.552721674,2294975.75065613,1940547.06998232,876387.109846922,2878042.43692674,2728117.76467954,819276.503089629,2530714.4717249,1545152.43654234,479749.333842089
"Nebraska",1504075.42532305,4154822.99017942,1316508.70080008,978231.90021611,1758753.35045539,564635.990380225,2247947.21771925,2078508.7921222,1954925.01085484,2126024.74502639,1752617.19234436,5780815.36872239,1247137.87681363,909223.436822419,1155082.568884,526731.585506589,358917.281488603,1320841.40897502,1355085.14642261,2493706.18391549,1969263.19899427,2313317.96419691,1213020.08893617,686797.770611619,1326155.14425051,719298.231198957,994700.497147739,0,1447055.93226698,2316060.49641773,2115800.26517406,966085.656211679,2002073.12031236,1893282.32449588,659141.485915658,1436698.95205454,690069.345137359,1716296.11861595,1841237.520375,2343368.17811196,1862856.96683991,324798.378275832,1326557.03244017,1117351.82817017,1036906.0451115,2226692.368768,1849809.25457934,1760571.31950143,1662749.77097216,867931.515427227,659808.480493407
"Nevada",2767892.50431665,3602489.46221147,714874.165843311,2198392.31026823,344054.355960476,958014.722088241,3691392.44743037,3523486.16002216,3398447.76907757,3349878.40937623,3064964.14731915,4334602.64668131,582384.349635058,2345479.67737669,2594444.15610583,1972637.33487463,1582993.98437813,2729058.01925421,2413438.38322112,3904082.35777077,3413559.80209489,3753153.77069058,2635513.0874799,1974147.91452534,2526950.50034105,2095187.95905387,1028553.46624421,1447055.93226698,0,3745575.62464195,3562853.91337142,1084265.32131734,3439755.33440413,3298844.84578539,1585440.71940447,2881876.74228891,1739600.60177583,606981.619374422,3288200.02119062,3785934.48789958,3230697.62008141,1472010.85257576,2689062.01038744,1792414.20331553,427773.747292403,3653318.79874578,3280921.70434541,946419.074101425,3100058.84632951,2273415.2910881,863366.622970489
"New Hampshire",1796398.33133525,5325782.15143011,3587810.41852272,2038973.93941592,4069272.93300708,2869497.25151504,247236.132565292,615695.474190259,698103.002324281,1931338.96563537,1603447.36558364,8071434.02453696,3411070.4494536,1514138.20046001,1290204.98201778,1794085.78837102,2313156.26075169,1344376.72630004,2275905.32110106,264134.250042203,673419.141268175,158935.131285092,1110070.05882444,1809036.09038014,1988768.54075214,1846894.37823715,2974760.27452734,2316060.49641773,3745575.62464195,0,464668.611421564,3135205.41813048,330065.279209569,1122721.01928279,2279803.47106231,1001737.3649117,2386622.08753058,3881598.64535153,599763.138138409,222659.987392981,1350707.89716953,2284931.29991494,1531145.11941786,2781367.32652461,3349603.3777142,97267.8892035608,919396.1321865,3776091.46101049,942008.540066659,1473633.28337077,2894853.43651679
"New Jersey",1362691.42220271,5496176.36625089,3322367.62763368,1673191.77448272,3870539.56689512,2642020.13740247,228307.264229754,151305.177799504,246424.561912746,1466727.72604861,1147879.08247508,7895919.80759191,3294122.44159272,1236858.51597238,990546.927008609,1591003.95250837,2046325.19739443,967797.318763908,1862056.83096426,726545.245870986,221290.025490856,332348.598774939,997799.349993642,1726386.77307307,1574900.72202522,1545508.44925586,2896408.35712448,2115800.26517406,3562853.91337142,464668.611421564,0,2844539.57504042,315035.680005027,660645.746611546,2213451.65843777,690896.295127822,2065049.93715847,3771545.33630164,275676.023654318,309984.132196372,888982.812923154,2149456.14125948,1131282.81579619,2418207.43283438,3149333.03934958,461570.111041557,468414.613583636,3713975.8860239,540373.972577817,1351366.04893932,2741259.95853102
"New Mexico",1796334.42594951,4533059.46339053,510606.794498333,1253382.69692556,1244908.42463932,511864.295952936,3018324.52290689,2768487.08674217,2637439.18043342,2330855.03878187,2110641.85693635,5157003.55598208,1323161.02986082,1622942.34382994,1859189.34368079,1391866.52560654,827855.053857017,1904728.75165017,1372519.26232094,3344920.88445512,2657356.89303969,3099994.05556714,2088439.28622535,1652820.67495487,1536309.99301381,1299647.12036111,1435027.60744956,966085.656211679,1084265.32131734,3135205.41813048,2844539.57504042,0,2806803.69255624,2436080.50824856,1523475.76211285,2159330.32791688,797342.373382134,1631848.08689734,2587163.2065641,3116065.00795865,2319789.78795424,1223366.00863004,1805223.73326011,712401.640099441,735308.449547421,3055039.26853415,2474224.84733805,1874007.46822828,2322840.69289167,1785323.51201074,961555.671396233
"New York",1501915.63901075,5204112.00385373,3262885.84183497,1713411.09026757,3759349.63065691,2550632.87392043,274200.951419696,440241.814623006,466197.352268407,1706468.28128654,1338718.48492558,7771595.11241224,3126991.41443302,1184802.08863207,960232.961731987,1477110.706136,1986460.76100668,1025472.76225723,1965188.10556798,569592.679488132,445830.711222583,314700.205372191,811696.39334272,1531607.710319,1679499.72024037,1516930.39747214,2705191.00702864,2002073.12031236,3439755.33440413,330065.279209569,315035.680005027,2806803.69255624,0,886103.318173967,2012575.28730464,673896.888076897,2056569.38658572,3601187.51469441,297808.644328733,356730.006182937,1106666.17860432,1990307.24468568,1218722.90600328,2454062.48970632,3038185.68172033,262397.507034602,666184.130728596,3515773.62188487,643430.852157597,1177548.99353938,2596333.62119835
"North Carolina",751745.736267995,5697011.75171972,2939392.67917435,1189883.69727536,3574652.09112872,2342993.57264317,888332.761715524,513532.299364806,427665.282419025,820386.601639988,494381.350734392,7580796.3047827,3136729.96585977,996218.418395107,774978.468112133,1420364.42729243,1717923.36918951,573157.24260199,1273994.32010748,1386125.03635969,451418.516973914,992157.909011875,1102687.23341519,1725931.87091207,997744.527518824,1203675.50448873,2812303.7404627,1893282.32449588,3298844.84578539,1122721.01928279,660645.746611546,2436080.50824856,886103.318173967,0,2188486.3686772,604337.585486017,1639005.75783383,3608994.67147298,606906.071089532,961905.418285611,228338.22398524,2026402.3428988,630865.140096088,1903649.70995336,2871913.38727507,1105745.15286091,223321.067844334,3622737.87225623,359553.899919146,1351220.0935255,2552440.56250229
